
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Electrons/Jun11/SingleEle-Run2012B-13Jul2012_nominal.root 1
total events =  3426 , cuts: trigSigEle_path==1 && lepEt > 30 && eMVA > 0.90 && lepIso <0.1 && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
*   654888 *    196531 *       289 * 406475712 *
*   655951 *    194533 *       444 * 612599399 *
*   656505 *    194533 *       163 * 218949371 *
*   660449 *    195390 *       273 * 215302332 *
*   661774 *    195390 *       388 * 300378662 *
*   664043 *    195109 *       128 * 112780421 *
*   665659 *    194712 *       602 * 447360603 *
*   668814 *    194533 *       213 * 295054372 *
*   671586 *    194912 *       344 * 580882577 *
*   671666 *    194912 *       347 * 585578234 *
*   671713 *    194912 *       347 * 585466628 *
*   671981 *    194912 *       614 * 989382005 *
*   674271 *    196199 *        49 *  60809169 *
*   674975 *    196199 *        70 *  85748758 *
*   675496 *    196199 *       446 * 498167193 *
*   676702 *    194712 *       755 * 594561188 *
*   677494 *    195399 *       128 * 105874574 *
*   678862 *    195774 *       274 * 489383283 *
*   682913 *    195147 *       262 * 253243283 *
*   683634 *    195552 *        90 * 155895729 *
*   685590 *    195397 *       581 * 797590280 *
*   686036 *    195397 *       694 * 920187471 *
*   689484 *    194711 *       264 * 233974652 *
*   691112 *    195304 *        46 *  65830558 *
*   693584 *    195655 *       358 * 403303694 *
*   696798 *    195147 *       337 * 376901913 *
*   696880 *    195147 *       337 * 376514890 *
*   700053 *    196218 *        64 *  32937668 *
*   701088 *    194533 *       387 * 539745022 *
*   701441 *    194533 *       414 * 574932893 *
*   702638 *    195540 *       146 * 166314047 *
*   704162 *    196452 *       209 * 260435985 *
*   704436 *    196452 *       211 * 264327152 *
*   704860 *    196452 *       196 * 237339589 *
*   705565 *    196452 *       213 * 267348501 *
*   705843 *    196452 *       465 * 663096337 *
*   707682 *    194533 *       399 * 555313129 *
*   708939 *    194699 *       231 * 272738937 *
*   711556 *    195303 *       356 * 452781284 *
*   714153 *    195397 *       861 * 1.087e+09 *
*   718911 *    194533 *       523 * 709946248 *
*   719259 *    194533 *       528 * 716756591 *
*   722797 *    196349 *       160 * 218146611 *
*   725437 *    195868 *       101 * 173824421 *
*   729401 *    195948 *       246 * 418055795 *
*   729580 *    196531 *       209 * 277213049 *
*   730325 *    194533 *       682 * 874293585 *
*   731876 *    195113 *        60 *  80665442 *
*   732665 *    194691 *       285 * 411014943 *
*   734457 *    195163 *       172 * 220339671 *
*   734644 *    195540 *        76 *  34562870 *
*   737886 *    194533 *       839 * 1.017e+09 *
*   739109 *    195113 *        26 *  34316875 *
*   739732 *    195113 *       309 * 385651286 *
*   739804 *    195113 *       309 * 385191498 *
*   740184 *    195113 *       320 * 397461485 *
*   741347 *    196349 *       223 * 331371639 *
*   743453 *    194619 *        43 *  74318793 *
*   745256 *    195147 *       291 * 301211694 *
*   746759 *    195397 *       130 * 213136842 *
*   753457 *    194778 *       133 * 155250058 *
*   754089 *    195013 *       477 * 708253902 *
*   754160 *    195013 *       477 * 706909195 *
*   755414 *    194631 *        64 * 101691107 *
*   761183 *    196509 *        55 *  65352030 *
*   766035 *    194912 *        86 *  88817698 *
*   766884 *    195251 *        74 * 136085786 *
*   768966 *    194631 *       103 * 162438619 *
*   772550 *    195378 *       495 * 623659613 *
*   781375 *    194897 *        83 * 150607027 *
*   785627 *    194631 *       189 * 288151027 *
*   786064 *    194631 *       202 * 304997924 *
*   787817 *    194912 *       117 * 154921984 *
*   790185 *    195757 *        66 * 106581597 *
*   790742 *    195776 *         8 *   6854163 *
*   795036 *    195774 *       271 * 485418605 *
*   798098 *    194643 *       132 * 171849904 *
*   800697 *    195163 *       320 * 468394665 *
*   805580 *    194643 *        76 * 100735758 *
*   807310 *    194643 *       284 * 354441072 *
*   808695 *    195776 *       413 * 331210675 *
*   811668 *    196218 *        82 *  68206323 *
*   811698 *    196218 *        82 *  68505327 *
*   811823 *    196218 *        82 *  68745474 *
*   812311 *    194643 *       121 * 158361899 *
*   814479 *    194711 *       146 * 132024258 *
*   815763 *    194711 *       186 * 167032808 *
*   816480 *    194711 *       343 * 299627759 *
*   816556 *    194711 *       344 * 300472660 *
*   817560 *    196027 *         7 *  10688464 *
*   817865 *    196027 *        13 *  19191049 *
*   820414 *    194644 *       346 * 352729153 *
*   824511 *    194912 *       458 * 761460666 *
*   826031 *    194643 *       199 * 254554267 *
*   827698 *    195016 *       505 * 538646563 *
*   831337 *    195775 *        92 *  86603118 *
*   834111 *    194644 *       364 * 369177636 *
*   836322 *    195397 *       234 * 368037174 *
*   838718 *    196364 *       534 * 514909959 *
*   840821 *    194643 *       266 * 334092879 *
*   841415 *    195016 *       553 * 580503773 *
*   845396 *    196250 *       337 * 549435513 *
*   848878 *    195552 *       355 * 548704730 *
*   849827 *    195915 *       357 * 579279576 *
*   854153 *    194735 *        96 * 102150548 *
*   857002 *    195915 *       645 * 939679640 *
*   857424 *    195915 *       656 * 952152201 *
*   859305 *    194644 *       235 * 246139648 *
*   860198 *    194644 *       270 * 280874998 *
*   860316 *    194644 *       271 * 281853898 *
*   861646 *    195016 *       431 * 472121366 *
*   863926 *    196452 *       810 * 1.092e+09 *
*   864007 *    196452 *       810 * 1.092e+09 *
*   865962 *    196438 *      1092 * 935980491 *
*   871916 *    195398 *        56 *  45835286 *
*   874390 *    194644 *       335 * 341879018 *
*   875688 *    196453 *        43 *  42099518 *
*   876253 *    196453 *        70 *  67624343 *
*   876881 *    196218 *       303 * 455936859 *
*   878022 *    196218 *       309 * 466453720 *
*   879008 *    196218 *       709 * 1.002e+09 *
*   879827 *    194644 *       395 * 397317871 *
*   881897 *    195397 *       724 * 950921276 *
*   884865 *    195378 *       147 * 153394081 *
*   885357 *    194778 *        62 *  28504893 *
*   885571 *    194778 *        63 *  30290102 *
*   890109 *    195950 *       918 * 838177727 *
*   893119 *    194699 *       152 * 183700743 *
*   895670 *    195303 *       172 * 141813477 *
*   895687 *    195303 *       172 * 142416242 *
*   895997 *    195303 *       182 * 160999449 *
*   897245 *    195147 *       508 * 627769505 *
*   901132 *    194699 *        77 *  94218856 *
*   901519 *    195113 *        22 *  29006557 *
*   905401 *    196453 *       574 * 507143980 *
*   907671 *    195378 *       794 * 943533575 *
*   909018 *    195147 *       529 * 657522277 *
*   911159 *    196197 *       451 * 678723993 *
*   912020 *    196197 *       453 * 681711797 *
*   912386 *    196197 *       488 * 729382406 *
*   913568 *    196239 *       549 * 517138520 *
*   915453 *    194699 *        92 * 112752587 *
*   919898 *    194691 *       232 * 328992674 *
*   921613 *    195113 *        12 *  15749310 *
*   922167 *    195113 *       317 * 393655240 *
*   922441 *    195113 *       318 * 395613891 *
*   922850 *    195916 *        29 *  28816403 *
*   923496 *    195948 *       184 * 325012716 *
*   923571 *    195948 *       184 * 324757518 *
*   924320 *    195948 *       366 * 583633018 *
*   924399 *    195948 *       531 * 791728050 *
*   925400 *    194691 *       278 * 399656730 *
*   930294 *    196438 *        78 *  67600066 *
*   933009 *    194699 *       110 * 133624542 *
*   933229 *    195303 *       288 * 344243051 *
*   933939 *    194789 *       161 * 220420249 *
*   934729 *    194789 *       474 * 588261297 *
*   935293 *    194789 *       166 * 227284241 *
*   939538 *    194789 *       565 * 682598948 *
*   941887 *    196197 *       523 * 777028375 *
*   942032 *    194790 *         3 *   2799768 *
*   943089 *    196364 *      1283 * 1.179e+09 *
*   949311 *    196048 *        11 *  17253979 *
*   949694 *    196218 *       684 * 973059285 *
*   949826 *    196218 *       686 * 974511118 *
*   950705 *    196531 *       160 * 193781729 *
*   952264 *    195113 *       174 * 226895610 *
*   953811 *    195552 *       231 * 376528804 *
*   955722 *    195774 *       196 * 362001424 *
*   958578 *    195147 *       423 * 508328962 *
*   961505 *    195304 *       118 * 165963853 *
*   962882 *    195378 *       104 *  80923406 *
*   968711 *    195251 *         8 *  14824536 *
*   972316 *    194704 *        79 *  75074666 *
*   973777 *    194897 *        44 *  80664417 *
*   975188 *    195658 *       285 * 265504795 *
*   975909 *    194896 *        62 * 106662235 *
*   975933 *    194896 *        62 * 107255947 *
*   976009 *    194896 *        62 * 106644808 *
*   976325 *    194896 *        64 * 111848068 *
*   980008 *    194704 *       114 * 107847479 *
*   980195 *    194704 *       129 * 121898834 *
*   983619 *    195915 *       380 * 610439561 *
*   985737 *    194704 *        76 *  71887836 *
*   995075 *    195649 *        55 *  83953758 *
*   995770 *    196197 *       309 * 468109390 *
*   995864 *    196197 *       160 * 215134807 *
*   995990 *    196197 *       161 * 217249301 *
*   997934 *    196364 *       481 * 470245515 *
*   999190 *    196453 *       236 * 221953652 *
*  1001724 *    194704 *       470 * 426757695 *
*  1004019 *    194704 *       557 * 510969402 *
*  1004238 *    194735 *       107 * 119448512 *
*  1007201 *    194704 *       272 * 247736577 *
*  1007597 *    194704 *       295 * 266607640 *
*  1009404 *    195915 *       675 * 974085044 *
*  1009478 *    195915 *       677 * 975522447 *
*  1014475 *    194704 *       264 * 240816972 *
*  1015102 *    194912 *       604 * 975998927 *
*  1018428 *    195378 *       182 * 208951439 *
*  1018884 *    195378 *       439 * 556387035 *
*  1019391 *    195540 *       189 * 242942405 *
*  1023007 *    194704 *       420 * 376739133 *
*  1026376 *    195649 *       201 * 293145181 *
*  1026913 *    194704 *       423 * 379695383 *
*  1028082 *    194912 *       494 * 815302066 *
*  1028481 *    194912 *       519 * 853280010 *
*  1036709 *    195776 *        84 *  72115412 *
*  1037054 *    195776 *       115 *  97992551 *
*  1040780 *    194711 *       182 * 163653680 *
*  1041054 *    194711 *       277 * 245341788 *
*  1042482 *    194711 *       448 * 385197952 *
*  1045130 *    194789 *       107 * 149530860 *
*  1046190 *    194912 *       258 * 430449498 *
*  1046951 *    196452 *       763 * 1.038e+09 *
*  1047689 *    196452 *       843 * 1.130e+09 *
*  1049412 *    194711 *       325 * 285218603 *
*  1049722 *    194711 *       341 * 298179232 *
*  1052481 *    194912 *       681 * 1.079e+09 *
*  1055488 *    195655 *        19 *  22769054 *
*  1055692 *    195303 *       187 * 168587796 *
*  1056248 *    194711 *       428 * 369393309 *
*  1057945 *    194711 *       601 * 504668109 *
*  1059424 *    195304 *       496 * 621086522 *
*  1060400 *    195304 *       835 * 962795491 *
*  1063734 *    194711 *       465 * 399258669 *
