Run Event #
194150 277565351 224
194150 284976671 230
194150 289328430 234
194151 314692504 326
194151 368338656 387
194151 403175377 428
194151 423111223 452
194151 430959796 461
194151 451853287 487
194151 495047363 532
194199 100056178 150
194210 46007953 46
194314 48454269 70
194314 49517912 70
194314 273894993 199
194424 28655013 69
194424 73703908 92
194424 73327288 92
194199 136254498 179
194199 198447803 231
194199 232002788 260
194199 234979137 262
194199 234898641 262
194199 250230636 276
194199 251315660 277
194199 257810839 282
194199 311543437 330
194199 312007150 331
194199 321694173 340
194210 235239736 244
194210 248944105 260
194210 258069296 270
194210 271849400 285
194210 352685248 380
194224 265165472 166
194224 265577903 166
194224 298816216 189
194224 304617796 193
194224 313248857 199
194224 321535680 205
194224 323961039 206
194224 327193609 209
194224 327752941 209
194224 336262390 215
194224 351579426 226
194303 41647878 71
194303 72088376 89
194303 80731515 94
194303 54024093 79
194303 69256308 88
194303 70499546 88
194314 424852682 298
194424 199081946 160
194315 331102942 257
194424 222048250 173
194424 221210834 173
194424 412557339 288
194424 257309253 193
194424 342396788 244
194424 374520064 264
194424 780126374 549
194050 337313218 344
194429 329709728 347
194429 351858511 372
194429 360046650 381
194479 612238097 556
194644 75330898 69
194644 117079504 108
194619 92710310 53
194691 39693038 66
194691 42334134 68
194619 155775711 87
194619 170382140 96
194691 96999835 98
194691 210971814 162
193998 43248959 79
193998 46288278 81
193998 46000612 81
194225 15586473 14
194225 59884540 51
193998 281972761 276
193998 244407980 243
194225 146109383 126
194225 159011026 138
194533 1028266726 852
194428 192518673 182
194464 300719814 210
194480 165575229 186
194225 162321970 141
194533 853651835 660
194533 882696945 691
194533 888734463 697
194533 990105086 808
194428 90225945 83
194428 115751143 107
194428 130608241 121
194428 161031513 151
194428 228759679 218
194428 153908576 144
194428 155637641 145
194428 166888746 156
194050 344490599 351
194050 347346431 359
194050 961213368 1022
194050 1060242865 1138
194050 1066184300 1145
194050 1078709583 1160
194050 1080740340 1162
194050 1094553222 1179
194050 1103280466 1190
194050 1228503615 1347
194480 22250422 25
194480 42072322 46
194480 64076188 71
194480 82028943 91
194480 377152046 420
194480 381913240 425
194480 401744541 446
194480 431121329 476
194533 312314075 224
194533 598414670 432
194533 248143386 182
194533 553527277 397
194533 660799580 482
194533 670549551 490
194533 669878883 490
194533 866936984 674
194533 887828269 696
194533 888024746 696
194533 911495018 721
194691 194163933 152
194051 5234178 6
194115 220715820 246
194115 241852218 266
194153 14461672 16
194153 23864089 26
194153 44812078 48
194153 90486684 97
194153 92004501 98
194153 93572313 100
194108 23079884 86
194076 731169684 747
194108 157377345 191
194108 158637895 192
194108 160828157 194
194108 433686720 442
194108 457902328 466
194108 479966007 488
194150 48353237 61
194150 53369130 64
194150 58755840 68
194115 673490661 725
194115 769535737 820
194115 799563531 851
194315 310983038 240
194115 145365609 168
194115 147940212 173
194304 51862116 33
194304 54305343 34
194315 300959875 231
194150 347313095 280
194150 377783132 306
194150 377156850 306
194151 54968930 57
194151 62208094 63
194151 67186045 68
194151 437461838 469
194151 515350255 552
194151 523461927 560
194224 354346857 228
194199 168691107 206
194199 191259899 225
194199 208425671 239
194199 208994894 240
194210 198519535 204
194210 287466639 303
194210 338581637 363
194210 357023536 385
194210 358686845 387
194210 376401882 408
194210 377113547 409
194224 371632138 240
194224 378577167 245
194224 394646895 257
194224 401533842 262
194224 418730375 274
194224 419406193 275
194644 82093123 75
194304 67303088 42
194315 3755255 3
194315 7922417 6
194315 39229836 28
194315 46154484 33
194315 48853775 35
194315 73720474 53
194315 84452440 61
194315 107780938 78
194315 153228907 113
194315 546938101 456
194424 378134068 266
194424 467215602 324
194424 467740871 324
194619 146699083 82
194691 108694479 104
194424 397254262 278
194424 425867974 296
194052 403715 1
194052 35363377 37
194052 42302891 44
194052 45342977 47
194052 69666277 73
194052 81840047 86
194117 6500233 7
194429 266678783 278
194429 293879197 308
194429 306442242 322
194644 404992296 403
194644 415759111 415
194439 85371444 79
194479 48448070 38
194479 405864069 348
194479 474561105 415
194619 138234136 78
194644 3310891 3
194644 21381034 20
194644 92922627 85
194691 220919377 167
194691 220328520 167
194691 409164170 284
194691 298575820 214
194691 292352726 210
194691 317018084 225
194691 363330284 254
194691 318580922 226
194691 319259693 226
193998 40559832 77
194464 208604846 142
194464 296720890 206
194464 299412806 208
194533 775187156 581
194533 787585490 593
194533 787879799 593
193998 222470912 224
193998 249577892 247
193998 248714979 247
193998 251552643 249
193998 257670092 254
193998 260406614 257
193998 277531087 272
194439 20863488 48
194439 64536257 69
194223 40585750 75
194223 97118405 106
194305 95479970 67
194480 2128439 3
194480 1990668 3
194480 3947301 5
194480 108758768 121
194480 109881951 122
194480 122965893 137
194480 148522150 167
194480 179013094 202
194480 339396449 382
194480 348297633 391
194428 177085319 166
194428 189020323 178
194428 207428309 196
194428 226920762 216
194428 230698445 220
194428 261955941 252
194428 276741317 267
194455 326338712 212
194455 340340562 220
194455 388480980 248
194455 400123645 255
194455 291089080 191
194455 310408124 202
194533 104906889 93
194533 104163686 93
194050 514899397 537
194050 589742861 622
194050 630550519 671
194480 407963933 452
194480 554473002 609
194480 554978238 610
194480 593677304 653
194533 271196655 197
194533 291969472 211
194533 416421578 296
194533 307279978 221
194533 403482492 287
194533 328957661 235
194533 351751471 251
194533 360843910 257
194533 367847877 262
194533 368050702 262
194533 368126370 262
194533 394956568 281
194533 707454083 520
194643 22618148 18
194533 930663785 742
194643 9255215 8
194643 3565990 4
194643 13690180 11
194643 13512525 11
194643 15274820 12
194643 63319705 48
194050 505096868 526
194050 600416553 635
194050 730957355 776
194050 758556438 804
194050 986054906 1051
194050 997137064 1063
194050 1004073028 1071
194050 1022910581 1093
194050 1039221414 1113
194050 1039206651 1113
194050 1047012428 1122
194050 1051930079 1128
194117 24401991 27
194076 333205885 315
194076 338821300 320
194076 356816703 339
194076 382143917 366
194076 382394458 367
194303 28481723 64
194115 33858372 74
194115 43605697 81
194115 42862864 81
194115 67356956 100
194108 469663606 478
194108 470644933 479
194108 689048768 713
194108 765787925 804
194108 776424183 817
194120 240037686 324
194304 27951534 18
194304 48121699 30
194315 281702821 215
194115 538912821 569
194115 546442602 578
194115 566716086 601
194115 583710189 620
194115 597059216 636
194115 621452088 665
194304 1623685 2
194315 250760947 190
194315 266767038 203
194315 321143631 248
194151 331275252 344
194151 418154449 446
194199 71240148 127
194199 71340148 127
194199 365892070 381
194199 74923050 130
194115 294534375 315
194224 293618321 185
194304 11579810 8
194151 455254471 491
194151 469347152 506
194151 484460847 521
194151 521929254 559
194224 89036875 53
194199 214253253 244
194199 214506393 245
194199 221447568 251
194199 254909058 280
194199 303269698 323
194199 304365077 324
194210 226411017 235
194210 226874298 235
194210 241591885 251
194210 296054556 313
194210 314904510 335
194210 324207045 346
194210 362497114 391
194210 381261623 414
194224 380904327 247
194224 404934659 264
194224 405057561 264
194224 441341354 291
194224 440726752 291
194224 441088100 291
194314 38904758 65
194314 23807714 57
194314 25899976 58
194314 380337293 268
194619 65937615 39
194619 163290739 92
194315 123270962 90
194315 165657412 122
194315 248309031 188
194315 254040202 192
194315 272536273 208
194315 287113600 220
194317 4037833 5
194315 523138529 433
194644 101774872 94
