#  RunNo   LumiNo          EvtNo 
 204554       62       51299591 
 208341       48       61256777 
 208341      304      353285002 
 208341      816      894217177 
 208341      472      536995983 
 208341      789      867426731 
 208351      206      270355433 
 208353      229      279850055 
 208353      145      181116204 
 208391      142      214691958 
 208391      669      848296096 
 208391      284      408141714 
 208391      743      932064498 
 205238      603      618117640 
 208427      139      212508787 
 208427      350      553719762 
 208427      378      593780629 
 208427      520      784169730 
 208428       23       28094241 
 208428       79       90646131 
 208428      127      143035266 
 208429      437      461027237 
 208487       21       33645511 
 208487       25       40324307 
 208487      120      212682688 
 208487      605      881260607 
 205238      553      573698759 
 208551      143      187486365 
 205303      126      207257778 
 204554      209      168959262 
 203894      228      246884217 
 203894      726      808732682 
 203894      868      949014980 
 203909      111      108427524 
 203912       22       29803058 
 203912       56       74665292 
 204113      376      570245641 
 204113      334      504137092 
 204113      559      828589459 
 205618        9        7240630 
 204554      434      336899025 
 204563      242      307050984 
 204563      475      649276916 
 204563      458      627055108 
 204564      424      465166299 
 204564      441      482100465 
 204564      964     1017020453 
 204564     1209     1225713187 
 205344      997     1048744495 
 205344     1339     1325258102 
 205344      853      919275611 
 205344     1002     1053144597 
 204601      502      601419677 
 205158      170      215192828 
 205158      460      642719455 
 205158      581      788230195 
 205617      202      217861025 
 205617      235      254853867 
 205921      570      806035829 
 205236       52       82064196 
 205311     1025      969845784 
 205311      480      510818205 
 205311      509      538199486 
 205311     1221     1106734749 
 205339      301      412081205 
 205526      232      211255239 
 205526      290      259304822 
 205667       32       34605342 
 205667     1087     1056868716 
 205694       79       81824207 
 205694      148      160003987 
 205694      605      592666628 
 205774       66      107214372 
 205781       87      126123969 
 206542      200      353521855 
 206542      347      575783039 
 208686      194      274923391 
 208686      384      593580875 
