
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Muons/Jun11Mu/SingleMu-Run2012C-24Aug2012_nominal.root 1
total events =  256 , cuts: trigSigMuNonIso_path==1 && lepEt > 45. && lepIso < 0.12 && isMuTight && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
*   204605 *    207920 *       712 * 1.015e+09 *
*   204883 *    207920 *       717 * 1.022e+09 *
*   205367 *    208541 *       162 * 242238743 *
*   206580 *    207905 *        75 *  31547460 *
*   207778 *    208307 *       602 * 824260343 *
*   208533 *    208427 *       557 * 831460541 *
*   209279 *    206859 *       360 * 543855672 *
*   209378 *    206859 *       391 * 593461515 *
*   210205 *    208357 *        27 *  26985455 *
*   210273 *    208357 *        28 *  27904006 *
*   210563 *    208357 *        40 *  39761597 *
*   211628 *    206859 *       396 * 601275587 *
*   212659 *    207920 *       392 * 593188327 *
*   212703 *    207920 *       394 * 596216368 *
*   214095 *    208357 *        54 *  54200592 *
*   215082 *    208391 *       526 * 698262145 *
*   215224 *    206859 *       423 * 643037083 *
*   217024 *    207882 *        39 *  54973140 *
*   218056 *    206859 *       417 * 634197947 *
*   218130 *    206859 *       417 * 633348526 *
*   218250 *    206859 *       436 * 661932251 *
*   219004 *    206859 *       517 * 778517441 *
*   220512 *    208341 *       437 * 495695680 *
*   221604 *    208391 *       276 * 397507707 *
*   222497 *    206859 *       437 * 663254717 *
*   225183 *    208353 *       268 * 323037705 *
*   226040 *    206859 *       449 * 681183391 *
*   229249 *    206859 *       453 * 687333717 *
*   229277 *    206859 *       453 * 688189760 *
*   232965 *    208541 *       335 * 461251634 *
*   234417 *    206859 *       489 * 740176408 *
*   237405 *    208428 *         4 *   5556251 *
*   237682 *    208428 *        10 *  13090081 *
*   240937 *    207889 *       545 * 566444280 *
*   242769 *    206859 *       510 * 768912194 *
*   243241 *    206859 *       628 * 927148642 *
*   243320 *    206859 *       630 * 929991161 *
*   243877 *    207454 *      1615 * 1.969e+09 *
*   245558 *    208686 *       110 * 118611103 *
*   246148 *    206859 *       652 * 958146202 *
*   246338 *    206859 *       666 * 975009359 *
*   247781 *    207905 *       274 * 390511950 *
*   249173 *    208357 *       216 * 227690272 *
*   249459 *    208357 *       222 * 233801605 *
